#{"t_start": 1785623421.0039482, "env_id": "None"}
r,l,t
11221.176667,231,42.619869
11276.231034,225,84.592054
14130.355593,503,134.977604
9558.357752,379,182.338883
11208.449329,387,230.147731
9711.614857,371,276.880857
11422.914962,374,324.430027
9273.061806,385,371.609545
11820.225903,383,418.907296
11032.151686,376,465.883867
9626.139743,384,513.245646
